name,city,sector
Arçelik A.Ş. Pişirici Cihazlar İşletmesi,Bolu,Dayanıklı Tüketim Malları
Arçelik A.Ş. Üretim Teknolojileri,İstanbul,Dayanıklı Tüketim Malları
Arçelik-LG Klima Sanayi ve Ticaret A.Ş.,Kocaeli,İklimlendirme
ARD Grup Bilişim Teknolojileri A.Ş.,Ankara,Yazılım
Arena Bilgisayar Sanayi ve Ticaret Anonim Şirketi,İstanbul,Yazılım
Arıkan Kriko Ve Makina Sanayi Ticaret Anonim Şirketi,Eskişehir,Otomotiv Yan Sanayi
Arion İlaç Sanayi ve Ticaret A.Ş.,İstanbul,İlaç
Ark Pres Emniyet Kemeri San. ve Tic. A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Armut Teknoloji A.Ş.,İstanbul,Yazılım
Aromsa Besin Aroma ve Katkı Maddeleri Sanayi ve Ticaret A.Ş.,Kocaeli,Gıda Sanayi
Arsan Kauçuk Plastik Makina A.Ş.,Sakarya,Lastik-Plastik-Kauçuk
Arvato Lojistik A.Ş.,İstanbul,Ulaştırma ve Lojistik
Arven İlaç Sanayi ve Ticaret A.Ş.,İstanbul,İlaç
Asaş Alüminyum San. ve Tic. A.Ş.,Sakarya,Demir ve Demir Dışı Metaller
Asaş Filtre Sanayi ve Ticaret A.Ş.,Hatay,Otomotiv Yan Sanayi
Asee Bilişim Teknolojileri A.Ş.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Aselsan A.Ş. - Aviyonik ve Güdüm Sistemleri Sektör Başkanlığı (AGS),Ankara,Savunma Sanayi
Aselsan A.Ş. - Haberleşme ve Bilgi Teknolojileri Sektör Başkanlığı (HBT - Macunköy),Ankara,Savunma Sanayi
Aselsan A.Ş. - Haberleşme ve Bilgi Teknolojileri Sektör Başkanlığı -(HBT-Satgeb),Ankara,Savunma Sanayi
Aselsan A.Ş. - Haberleşme ve Bilgi Teknolojileri Sektör Başkanlığı (HBT-Titanyum),Ankara,Savunma Sanayi
Aselsan A.Ş. - Mikroelektronik ve Elektro-Optik Sistemler Sektör Başkanlığı (MEOS),Ankara,Savunma Sanayi
Aselsan A.Ş. - Radar ve Elektronik Harp Sistemleri Sektör Başkanlığı (REHİS),Ankara,Savunma Sanayi
Aselsan A.Ş. - Savunma Sistem Teknolojileri Sektör Başkanlığı (SST-Ankara),Ankara,Savunma Sanayi
Aselsan A.Ş. - Savunma Sistem Teknolojileri Sektör Başkanlığı (SST-İstanbul),İstanbul,Savunma Sanayi
"Aselsan A.Ş.- Ulaşım, Güvenlik, Enerji, Otomasyon ve Sağlık Sistemleri Sektör Başkanlığı (UGES-Ankara)",Ankara,Savunma Sanayi
"Aselsan A.Ş. Ulaşım, Güvenlik, Enerji, Otomasyon ve Sağlık Sistemleri Sektör Başkanlığı (UGES-İstanbul)",İstanbul,Savunma Sanayi
Aselsan A.Ş.(Bilişim Şubesi),Ankara,Savunma Sanayi
Aselsan Konya Silah Sistemleri Anonim Şirketi,Konya,Savunma Sanayi
Aselsan Sivas Hassas Optik Sanayi ve Ticaret A.Ş.,Sivas,Savunma Sanayi
Asis Otomasyon ve Akaryakıt Sistemleri A.Ş.,İstanbul,Elektronik
ASKO Sınai ve Teknoloji Üretim Sanayi Ticaret Anonim Şirketi (Gaziantep Şubesi),Gaziantep,Makine ve Teçhizat İmalatı
ASKO Sınai ve Teknoloji Üretim Sanayi Ticaret Anonim Şirketi (Sakarya Şubesi),Sakarya,Makine ve Teçhizat İmalatı
Aslı Tekstil Giyim Sanayi Ticaret A.Ş. Ar-Ge Merkezi,Denizli,Tekstil
Asos Proses Makina Sanayi Ve Ticaret Anonim Şirketi,Tekirdağ,Makine ve Teçhizat İmalatı
Aspilsan Enerji Sanayi ve Tic. A.Ş.,Ankara,Savunma Sanayi
Assan Alüminyum Sanayi Ve Ticaret A.Ş.,Kocaeli,Demir ve Demir Dışı Metaller
Assan Elektronik İmalat Pazarlama Sanayi Ve Ticaret Anonim Şirketi,İstanbul,Elektronik
Assan Group Makine Savunma Sanayi A.Ş.,Ankara,Savunma Sanayi
Assan Hanıl Oto San. ve Tic. A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Astor Enerji A.Ş.,Ankara,Enerji
Atabay Kimya Sanayi ve Ticaret Anonim Şirketi (Gebze Şubesi),Kocaeli,İlaç
Atabay Kimya Sanayi Ve Ticaret Anonim Şirketi (İstanbul Şubesi),İstanbul,İlaç
Atel Teknoloji ve Savunma Sanayi A.Ş.,Ankara,Savunma Sanayi
Ateş Çelik İnşaat Taahhüt Proje Mühendislik Sanayi ve Ticaret Anonim Şirketi,İzmir,Enerji
Atez Yazılım Teknolojileri Anonim Şirketi,İstanbul,Yazılım
Atha Makina A.Ş.,İzmir,Makine ve Teçhizat İmalatı
Atmaca Elektronik San. ve Tic. A.Ş.,İstanbul,Elektronik
ATP Yazılım ve Teknoloji A.Ş.,İstanbul,Yazılım
Avl Araştırma Ve Mühendislik San. Tic. Ltd. Şti. (İstanbul Şubesi),İstanbul,Otomotiv Tasarımı ve Mühendislik
Avl Araştırma Ve Mühendislik Sanayi Ve Ticaret Limited Şirketi (Sancaktepe Şubesi),İstanbul,Otomotiv Tasarımı ve Mühendislik
Aybey Elektronik Sanayi Ve Ticaret A.Ş.,İstanbul,Makine ve Teçhizat İmalatı
Ayd Otomotiv Endüstri San. ve Tic. A.Ş.,Konya,Otomotiv Yan Sanayi
Aydın Endüstri San. Tic. A.Ş.,Sakarya,Mobilya
Aydın Mensucat Döşemelik Kumaş Sanayi ve Ticaret A.Ş.,İstanbul,Tekstil
Aydın Mensucat Döşemelik Kumaş Sanayi ve Ticaret Anonim Şirketi (Kayseri Şubesi),Kayseri,Tekstil
Aydın Mensucat Döşemelik Kumaş Sanayi ve Ticaret Anonim Şirketi (Sakarya Şube),Sakarya,Tekstil
Aydın Yazılım ve Elektronik Sanayi A.Ş.,Ankara,Savunma Sanayi
Aygaz A.Ş.,Kocaeli,Sıvılaştırılmış Likit Petrol Gazı
Aygün Cerrahi Aletler Sanayi ve Ticaret Anonim Şirketi,Samsun,Medikal
Aymas Makina San. Ve Tic. A.Ş.,İzmir,Makine ve Teçhizat İmalatı
Ayşenur Ve Turan Gıda Kontrol Laboratuvarı A.Ş.,İstanbul,Gıda Sanayi
Bahçıvan Gıda Sanayi ve Ticaret A.Ş.,Kırklareli,Gıda Sanayi
Bak Ambalaj San. Tic. A.Ş.,İzmir,Ambalaj
Balıkesir Elektromekanik Sanayi Tesisleri A.Ş.,Balıkesir,Enerji
Balıkesir Yem Sanayi Ve Ticaret A.Ş.,Balıkesir,Hayvancılık
Bankalararası Kart Merkezi A.Ş.,İstanbul,Bankacılık ve Finans
Bant Boru Sanayi Ve Ticaret A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Barida Makina San. Tic. Ltd. Şti.,Bursa,Makine ve Teçhizat İmalatı
Barikat İnternet Güvenliği Bilişim Ticaret Anonim Şirketi (Ankara),Ankara,Bilgisayar ve İletişim Teknolojileri
Barikat İnternet Güvenliği Bilişim Ticaret Anonim Şirketi (İstanbul),İstanbul,Bilgisayar ve İletişim Teknolojileri
Barkom Grup Sondaj Makine ve Ekipmanları San. Tic. A.Ş.,Ankara,Makine ve Teçhizat İmalatı
Barmak Barutçuoğlu Gıda Makinaları San. Tic. A.Ş.,Bursa,Makine ve Teçhizat İmalatı
Barsan Global Lojistik A.Ş.,İstanbul,Ulaştırma ve Lojistik
Barutçu Tekstil San. ve Tic. A.Ş.,Bursa,Tekstil
Base Studio Arge ve Teknoloji San. A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Bastak Teknoloji Sistemleri A.Ş.,Ankara,Makine ve Teçhizat İmalatı
Başarıarge Enerji Teknolojileri Elektrik Elektronik Yazılım Makina Sanayi ve Taahhüt Ticaret A.Ş.,Ankara,Enerji
Başarsoft Bilgi Teknolojileri A.Ş. (Ankara Şubesi),Ankara,Yazılım
Başarsoft Bilgi Teknolojileri A.Ş. (İstanbul Şubesi),İstanbul,Yazılım
Başoğlu Kablo ve Profil San. ve Tic. A.Ş.(I),Bolu,Lastik-Plastik-Kauçuk
Başoğlu Kablo ve Profil San. ve Tic. A.Ş.(II),Bolu,Lastik-Plastik-Kauçuk
Baştaş-Başkent Çimento Sanayi ve Ticaret Anonim Şirketi,Ankara,Çimento ve Çimento Ürünleri
Baykal Makine Sanayi Ve Ticaret A.Ş.,Bursa,Makine ve Teçhizat İmalatı
Baykan Denim Konfeksiyon Anonim Şirketi,Malatya,Tekstil
Baykar Makina Sanayi ve Ticaret A.Ş.,İstanbul,Savunma Sanayi
Baykon Endüstriyel Kontrol Sistemleri Sanayi ve Ticaret Anonim Şirketi,İstanbul,Elektronik
Baylan Ölçü Aletleri Sanayi Ve Ticaret A.Ş.,İzmir,Makine ve Teçhizat İmalatı
Bayramoğlu Endüstriyel Çelik Anonim Şirketi,Bursa,İmalat Sanayi
Bekamak Makina Sanayi ve Ticaret A.Ş.,Bursa,Makine ve Teçhizat İmalatı
Belgin Madeni Yağlar Tic. ve San. A.Ş.,Kocaeli,Kimya
Bellona Mobilya Sanayi ve Ticaret A.Ş.,Kayseri,Mobilya
Bentaş Bentonit Madencilik Sanayi ve Ticaret Anonim Şirketi,Ordu,İmalat Sanayi
Berdan Cıvata Enerji İmalat Savunma Sanayi ve Laboratuvar Hizmetleri Ticaret Anonim Şirketi,Mersin,Makine ve Teçhizat İmalatı
Bericap Kapak Sanayi Anonim Şirketi,Kocaeli,Ambalaj
Berko İlaç ve Kimya Sanayi A.Ş.,İstanbul,İlaç
Berteks Tekstil Sanayi ve Ticaret A.Ş.,Bursa,Tekstil
Besmak Laboratuvar ve İnşaat Test Makinaları San. ve Tic. Ltd. Şti.,Ankara,Makine ve Teçhizat İmalatı
Bestaş Elektronik Optik Sanayi ve Ticaret Anonim Şirketi,İstanbul,Elektronik
Beşer Balatacılık Sanayi ve Ticaret Anonim Şirketi,İzmir,Otomotiv Yan Sanayi
Beta Enerji ve Teknoloji Anonim Şirketi,Adana,Enerji
Beta Gıda Sanayi ve Ticaret A.Ş.,Adana,Gıda Sanayi
Betek Boya Ve Kimya Sanayi A.Ş.,Kocaeli,Kimya
Beyaz Kağıt ve Hijyenik Ürünler Tem. İnş. San. Tic. A.Ş.,Adana,Kozmetik ve Temizlik Ürünleri
Beyçelik Gestamp Şasi Otomotiv Sanayi A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Beyçelik Gestamp Teknoloji ve Kalıp Sanayi A.Ş.,Bursa,Otomotiv Yan Sanayi
Bıçakcılar Tıbbi Cihazlar Sanayi ve Ticaret A.Ş. (Çamlıca Şubesi),İstanbul,Medikal
Bıçakcılar Tıbbi Cihazlar Sanayi ve Ticaret A.Ş. (Esenyurt Şubesi),İstanbul,Sağlık
Bias Mühendislik Limited Şirketi,İstanbul,Makine ve Teçhizat İmalatı
Biges Güvenli Hayat Teknolojileri Elektronik Anonim Şirketi,İstanbul,Yazılım
Bilim İlaç Sanayi ve Ticaret A.Ş.,Kocaeli,İlaç
Bilmed Bilgisayar ve Yazılım A.Ş.,İstanbul,Yazılım
Bimed Teknik Aletler Sanayi ve Ticaret A.Ş.,İstanbul,İmalat Sanayi
Binovist Bilişim Danışmanlık A.Ş.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Biofarma İlaç Sanayi ve Ticaret A.Ş.,İstanbul,İlaç
Biosys Bİyomedikal Mühendislik San. ve Tic. A.Ş.,Batman,Sağlık
Birikim Pilleri Batarya Teknolojileri A.Ş.,İstanbul,Enerji
Birinci Otomotiv San. ve Tic. A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Bis Çözüm Bilgisayar ve Entegrasyon Hizmetleri Ticaret A.Ş.,İstanbul,Yazılım
Bisan Motosiklet ve Bisiklet Sanayi ve Ticaret Anonim Şirketi,İzmir,İmalat Sanayi
Bma Teknoloji Anonim Şirketi,Kocaeli,Elektronik
Bmc Otomotiv Sanayi ve Ticaret A.Ş.,İzmir,Otomotiv
BMC Power Motor ve Kontrol Teknolojileri Anonim Şirketi,Ankara,Savunma Sanayi
Bolt Bağlantı Elemanları Sanayi Ticaret Anonim Şirketi,Bursa,Demir ve Demir Dışı Metaller
Bome Trivitron Sanayi Ürünleri Dış Ticaret A.Ş.,Ankara,Sağlık
Borçelik Çelik Sanayii Ticaret A.Ş.,Bursa,Demir ve Demir Dışı Metaller
Borsa İstanbul A.Ş.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Borsan Kablo Elektrik Aydınlatma İnşaat Sanayi ve Ticaret A.Ş.,Samsun,Elektronik
Borusan Makina ve Güç Sistemleri San. ve Tic. A.Ş.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Borusan Otomotiv İthalat ve Dağıtım A.Ş.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Borusan Tedarik Zinciri Çözümleri ve Teknoloji A.Ş,İstanbul,Ulaştırma ve Lojistik
Bosch Sanayi ve Ticaret A.Ş.,Bursa,Otomotiv Yan Sanayi
Bosch Sanayi ve Ticaret Anonim Şirketi (Benzinli ve Hidrojen Sistemler),Bursa,Otomotiv Yan Sanayi
Bosch Termoteknik Isıtma ve Klima San. Tic. A.Ş.,Manisa,İklimlendirme
Bossa Ticaret ve Sanayi İşletmeleri T. A.Ş.,Adana,Tekstil
BOTEK Ar-Ge Kimya A.Ş.,Ankara,Kimya
Boyner Büyük Mağazacılık A.Ş.,İstanbul,Yazılım
Bozankaya Raylı Sistemler A.Ş.,Ankara,Otomotiv
"B-plas Bursa Plastik, Metal, İnşaat, Enerji, Madencilik, Jeotermal, Turizm, Sivil Havacılık ve Tarım Sanayi ve Ticaret A.Ş.",Bursa,Otomotiv Yan Sanayi
Brisa Bridgestone Sabancı Lastik Sanayi A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Bsh Ev Aletleri Sanayi Ve Ticaret Anonim Şirketi,Tekirdağ,Dayanıklı Tüketim Malları
BTC Bilişim Hizmetleri Anonim Şirketi,İstanbul,Yazılım
Btm Bitümlü Tecrit Maddeleri Sanayi ve Ticaret A.Ş.,İzmir,Kimya
BTS Kurumsal Bilişim Teknolojileri A.Ş.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Burçelik- Bursa Çelik Döküm Sanayi A.Ş.,Bursa,Makine ve Teçhizat İmalatı
Bursalı Tekstil Sanayi ve Ticaret Anonim Şirketi,Bursa,Tekstil
Bvs Bülbüloğlu Vinç San. ve Tic. A.Ş.,Ankara,Makine ve Teçhizat İmalatı
Can Klima Teknik Sanayi ve Ticaret Ltd.Şti.,İstanbul,İklimlendirme
Can Tekstil Entegre Tesisleri Ve Tarım Ürünleri Sanayi Ticaret Anonim Şirketi,Tekirdağ,Tekstil
Canovate Elektronik Endüstri Ve Ticaret Anonim Şirketi,İstanbul,Elektronik
Caretta Yazılım Ve Danışmanlık Hizmetleri Limited Şirketi,İstanbul,Yazılım
Casper Bilgisayar Sistemleri A.Ş.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Cavo Otomotiv Ticaret ve Sanayi A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Cengiz Makina Sanayi ve Ticaret A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Centurion İlaç San. ve Tic. A.Ş.,Ankara,İlaç
Ces İleri Kompozit Ve Savunma Teknolojileri A.Ş.,Ankara,İmalat Sanayi
Ceva Lojistik Limited Şirketi,İstanbul,Ulaştırma ve Lojistik
Cezeri Yapay Zeka Robotik Teknolojileri Sanayi ve Ticaret Anonim Şirketi,İstanbul,Bilgisayar ve İletişim Teknolojileri
Cimri Bilgi Teknolojileri ve Sistemleri A.Ş.,İstanbul,Yazılım
Cmc İletişim ve Çağrı Merkezi Hizmetleri A.Ş.,İstanbul,Telekomünikasyon
Cms Jant ve Makina San. A.Ş. (II),İzmir,Otomotiv Yan Sanayi
Cms Jant ve Makine Sanayi A.Ş. (I),İzmir,Otomotiv Yan Sanayi
Cms Makine San. ve Tic. A.Ş.,Kocaeli,Makine ve Teçhizat İmalatı
Commencis Teknoloji A.Ş.,Ankara,Yazılım
Continental Confectionery Company Gıda Sanayi Ve Ticaret Anonim Şirketi,Tekirdağ,Gıda Sanayi
Core Bina Otomasyon Teknolojileri Sanayi ve Ticaret Limited Şirketi,İzmir,Bilgisayar ve İletişim Teknolojileri
Coşkunöz Kalıp Makina Sanayi ve Ticaret A.Ş.,Bursa,Otomotiv Yan Sanayi
Coşkunöz Metal Form Makina Endüstri ve Ticaret Anonim Şirketi,Bursa,Otomotiv Yan Sanayi
Cw Enerji Mühendislik Ticaret Ve Sanayi Anonim Şirketi,Antalya,Enerji
Çağlayan Soğutma Anonim Şirketi,Konya,İklimlendirme
Çalık Denim Tekstil Sanayi Ve Ticaret A.Ş.,Malatya,Tekstil
Çamsan Ordu Ağaç Sanayi ve Ticaret A.Ş.,Ordu,Mobilya
Çanakcılar Seramik Sanayi ve Ticaret A.Ş.,Zonguldak,Seramik ve Refrakter
Çelik Halat ve Tel Sanayii A.Ş.,Kocaeli,Demir ve Demir Dışı Metaller
Çelikform Gestamp Otomotiv A.Ş.,Bursa,Otomotiv Yan Sanayi
Çemtaş Çelik Makina Sanayi ve Ticaret A.Ş.,Bursa,Demir ve Demir Dışı Metaller
Çetin Civata Sanayi ve Ticaret Anonim Şirketi,İstanbul,İmalat Sanayi
Çilek Mobilya A.Ş.,Bursa,Mobilya
Çimsa Çimento Sanayi Ticaret A.Ş.,Mersin,Çimento ve Çimento Ürünleri
Çimtaş Çelik İmalat Montaj Ve Tesisat Anonim Şirketi,Bursa,Makine ve Teçhizat İmalatı
Çizgi Teknoloji Elektronik Tasarım ve Üretim A.Ş.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Çolakoğlu Mühendislik Makina San. Ve Tic. Ltd. Şti.,Trabzon,Makine ve Teçhizat İmalatı
Çözüm Makina Sanayi ve Ticaret Ltd. Şti.,İstanbul,İmalat Sanayi
Çözümevi Yönetim Danışmanlığı ve Bilgisayar Yazılım Ticaret Anonim Şirketi,İstanbul,Bilgisayar ve İletişim Teknolojileri
Çuhadaroğlu Metal Sanayi ve Pazarlama A.Ş.,İstanbul,Demir ve Demir Dışı Metaller
Çukurova Kimya Endüstrisi A.Ş.,Manisa,Kimya
